cid,targets,cnDesc,basicTypes
SO02544920,[],注射用重组人凝血因子VIII过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02121077,['therapeutic_procedure'],等速肌力训练,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00077609,['has_site'],肝性卟啉病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00004528,"['has_site', 'combo_concept', 'complaint', 'diagnosis']",可卡因中毒,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00936928,[],Berg平衡量表,"[{'enBasicType': 'Exam', 'cnBasicType': '检查手段'}]"
SO00337228,['has_site'],拉莫三嗪过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529100,[],先天性QT综合征,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00002288,"['has_site', 'combo_concept', 'diagnosis']",精神障碍,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00001778,['has_site'],先天性动静脉畸形,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00337463,['has_site'],乙酰半胱氨酸过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529015,[],伊托必利过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02191948,['costly_medicine'],盐酸氟西汀胶囊,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529065,[],POLG相关疾病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00338067,['has_site'],布地奈德过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02416469,[],思考林,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO02529137,[],碳酸氢钠过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00072715,"['has_site', 'chronic_disease', 'combo_concept', 'diagnosis']",急性心肌炎,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00135474,['has_site'],牛乳蛋白过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00338189,['has_site'],降钙素过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00000824,"['has_site', 'combo_concept', 'diagnosis']",呼吸性碱中毒,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529248,['has_site'],严重肺瘀血,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00009706,"['has_site', 'chronic_disease', 'combo_concept', 'diagnosis']",慢性肝炎,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00016052,['combo_concept'],苯丙酮尿症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00015830,"['has_site', 'combo_concept', 'diagnosis']",心包炎,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529226,['has_site'],重度肝功能不全,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02299272,['costly_medicine'],诺和达,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO02527162,[],SDS,"[{'enBasicType': 'Exam', 'cnBasicType': '检查手段'}]"
SO00053651,"['has_site', 'diagnosis']",高氯血症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01996972,"['combo_concept', 'diagnosis']",冠状动脉缺血,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01432664,[],普通肝素,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529046,[],酒石酸美托洛尔过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529249,['has_site'],银杏叶制剂过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02525596,['has_site'],肢体重症感染,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00181315,['combo_concept'],急性炎症,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO00337914,['has_site'],头孢过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02544897,[],风寒咳嗽,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO00407664,['costly_medicine'],波依定,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529069,[],直肠结肠切除后回肠造口,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02513746,[],急性休克,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00021364,"['has_site', 'combo_concept', 'diagnosis']",骨关节结核,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00158698,[],惠菲宁,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02528986,[],感染性炎症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00255775,[],精神正常,"[{'enBasicType': 'Finding', 'cnBasicType': '发现'}]"
SO00014634,"['has_site', 'combo_concept', 'complaint', 'diagnosis']",少尿,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO02529240,[],甘精胰岛素过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00003941,['combo_concept'],儿童,"[{'enBasicType': 'AgeGroup', 'cnBasicType': '年龄组人群'}]"
SO00337191,['has_site'],三环类抗抑郁药物过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529309,[],聚乙二醇化重组人粒细胞刺激因子过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529147,[],眼部手术,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00539800,"['has_site', 'combo_concept', 'diagnosis']",肌无力,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO02528963,[],中频治疗,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00393079,['costly_medicine'],万艾可,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO00018897,"['has_site', 'combo_concept', 'complaint']",感觉障碍,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529090,['has_site'],重度心力衰竭,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529092,[],维生素B6过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00001478,['therapeutic_procedure'],抗凝治疗,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO02516841,[],外周血管病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529302,[],LHRH 类似物过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00017461,"['has_site', 'combo_concept', 'diagnosis']",肺水肿,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00008523,"['has_site', 'diagnosis']",胆囊病变,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529321,"['has_site', 'complaint']",粘膜破损,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO02522044,['costly_medicine'],迈之灵片,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02000955,[],开塞露,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00015711,['has_site'],青霉素过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529135,['has_site'],遗传性半乳糖不耐受症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00158381,[],咪多吡,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00248936,"['has_site', 'combo_concept', 'complaint', 'diagnosis']",心动过缓,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO00136664,['has_site'],先天性葡萄糖-半乳糖吸收不良,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529017,[],大豆制剂过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02204809,[],复方谷氨酰胺肠溶胶囊,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529264,['has_site'],严重肾功能障碍,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529307,['has_site'],糖皮质激素类药物过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00647966,"['has_site', 'combo_concept', 'complaint', 'diagnosis']",马尾肿瘤,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00003268,"['has_site', 'combo_concept', 'concrete_object', 'complaint', 'diagnosis']",恶性肿瘤,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00485747,[],血管动脉瘤,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00612920,['costly_medicine'],吉粒芬,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}, {'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO01437578,['combo_concept'],跌倒趋势,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO02000666,[],检查配合,"[{'enBasicType': 'Finding', 'cnBasicType': '发现'}]"
SO00278764,['has_site'],消化性溃疡并发出血,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00857463,['costly_medicine'],叶酸口服片,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529313,[],栀子过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529074,[],高出血风险恶性肿瘤,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00019600,"['has_site', 'combo_concept', 'diagnosis']",脊髓受压,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01535699,"['has_site', 'diagnosis']",葡萄糖-6-磷酸脱氢酶缺乏症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529057,[],奥氮平过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00797476,"['has_site', 'combo_concept']",感染性心内膜炎,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02121083,['therapeutic_procedure'],蜡疗,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO02416420,['costly_medicine'],雷米普利片（瑞素坦）,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO02293496,"['has_site', 'combo_concept', 'complaint']",皮肤破溃,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00102860,['therapeutic_procedure'],肌电生物反馈,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00010426,"['has_site', 'combo_concept', 'diagnosis']",低血糖症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00417365,['costly_medicine'],代文,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529067,[],米拉贝隆过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529274,[],仓鼠蛋白过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00797086,"['has_site', 'combo_concept', 'diagnosis']",幽门梗阻,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00418545,['costly_medicine'],洛汀新,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02295155,['costly_medicine'],倍博特,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00337100,['has_site'],普鲁卡因过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00295489,"['has_site', 'chronic_disease', 'combo_concept', 'diagnosis']",痴呆,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529019,[],盐酸二甲双胍过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00221561,['has_site'],凝血和出血障碍,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00913231,['has_site'],钙肾结石,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02000051,[],华法林钠片,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00181301,['combo_concept'],体腔,"[{'enBasicType': 'Anatomy', 'cnBasicType': '身体部位'}]"
SO00124084,['costly_medicine'],得宝松,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00066407,[],氯化钙0.0014meq/mL/氯化钾0.004meq/mL/氯化钠0.103meq/mL/乳酸钠0.028meq/mL注射液,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00038947,['costly_medicine'],开同,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02544930,[],醋酸戈舍瑞林过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02416478,['costly_medicine'],敏使朗,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO02529210,[],聚乙二醇过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02526741,[],踩车,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO02529242,[],阿托品衍生物过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02525600,[],重症高血压,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00009641,"['has_site', 'combo_concept']",出血,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO02529035,[],丁苯酞过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02528974,[],湿热袋敷疗,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO02529129,['has_site'],重度肝功能异常,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02528960,[],低频治疗,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00263020,['therapeutic_procedure'],颈椎牵引,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO02529060,[],骨骼发育不完全,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00011068,"['has_site', 'combo_concept', 'diagnosis']",肠梗阻,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00003149,"['has_site', 'combo_concept', 'complaint', 'diagnosis']",恶病质,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO01587063,"['has_site', 'combo_concept', 'diagnosis']",骨结核,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00009679,"['has_site', 'combo_concept']",肝昏迷,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529215,['has_site'],低分子肝素过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00347192,['has_site'],失代偿性心脏衰竭,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529076,[],脊椎损伤,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529331,['has_site'],慢性肝功能不全,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00494781,['combo_concept'],收缩压,"[{'enBasicType': 'Exam', 'cnBasicType': '检查手段'}]"
SO01194121,['costly_medicine'],金纳多,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO02529330,['has_site'],急性肝功能不全,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02528958,[],呼吸评定,"[{'enBasicType': 'Treatment', 'cnBasicType': '治疗'}]"
SO00136322,"['has_site', 'combo_concept']",急性肝炎,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00108008,"['has_site', 'combo_concept', 'diagnosis']",代谢性酸中毒,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00020114,[],化脓性炎症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02526395,[],足关节内骨折,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02527302,['costly_medicine'],安达唐,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO00637395,[],氯化钠注射液,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02202134,[],仙灵骨葆胶囊,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00355150,[],达克宁,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00037709,[],喜疗妥,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00004085,"['has_site', 'combo_concept', 'diagnosis']",胆管炎,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00497500,[],弗希肝素,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529051,[],琥珀酸美托洛尔过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529283,[],肾上腺皮质激素类药物过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00337029,['has_site'],奥美拉唑过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529235,['has_site'],剥脱性皮肤损害,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00659947,['therapeutic_procedure'],步行训练,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO02201194,['costly_medicine'],复方氨基酸注射液(17AA-Ⅲ),"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02516940,[],消化系统功能障碍,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529207,[],微生态制剂过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00337024,['has_site'],西咪替丁过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529140,[],急性全心炎,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529271,['has_site'],严重心功能障碍,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529139,[],垂体功能不足,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00766498,['costly_medicine'],欣百达,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO00020677,"['has_site', 'combo_concept', 'diagnosis']",血小板减少症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00104385,[],达肝素,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00337840,['has_site'],莫匹罗星过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529094,[],蒲地蓝过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02394665,[],苯酮尿症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529256,[],严重消化功能障碍,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00429554,[],对咖啡因过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02543420,['has_site'],严重骨质疏松症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00012147,"['has_site', 'combo_concept', 'diagnosis']",胆汁性肝硬变,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529056,[],吡咯烷酮衍生物过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529052,[],硫酸氢氯吡格雷过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529225,[],左卡尼汀过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00016850,"['has_site', 'chronic_disease', 'combo_concept', 'diagnosis']",预激综合征,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529311,[],人工麝香过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02205639,['costly_medicine'],消痛贴膏,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO01780750,"['has_site', 'combo_concept']",先天性颅内血管畸形,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01929496,[],失代偿性糖尿病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00355203,['costly_medicine'],杜秘克,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02544916,[],日夜百服咛过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00587980,['combo_concept'],阿利吉仑,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00005556,"['has_site', 'combo_concept', 'diagnosis']",脱水,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529252,[],白蛋白制品过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00870781,['combo_concept'],金属异物,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00000126,"['has_site', 'combo_concept', 'complaint', 'diagnosis']",腹痛,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}]"
SO00020527,"['has_site', 'combo_concept', 'diagnosis']",地中海贫血,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00407654,['costly_medicine'],吗丁啉,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}, {'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529202,[],左氧氟沙星过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00336996,['has_site'],吲哚美辛过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529267,['has_site'],重度肾功能衰竭,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529291,[],咪康唑过敏过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02204073,[],乙酰半胱氨酸颗粒,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529224,[],低充盈压,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529247,[],颅内活动性出血,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02528980,[],饭前半小时,"[{'enBasicType': 'Time', 'cnBasicType': '时间'}]"
SO02529058,[],窄角性青光眼,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529279,[],严重败血症,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529263,[],人血清白蛋白过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02199040,['costly_medicine'],门冬胰岛素30注射液,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO02529286,[],苯并咪唑类化合物过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02201185,['costly_medicine'],硫酸氨基葡萄糖胶囊,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00021369,"['has_site', 'combo_concept', 'diagnosis']",脊柱结核,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01972452,[],药物赋形剂过敏反应,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00021100,"['has_site', 'combo_concept', 'complaint', 'diagnosis']",震颤,"[{'enBasicType': 'SignSymptom', 'cnBasicType': '症状'}, {'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529124,['has_site'],持续性肝功能异常,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01868271,[],埃索美拉唑注射液,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00068910,"['has_site', 'combo_concept', 'diagnosis']",急性胆囊炎,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02544909,[],盐酸司来吉兰过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00486230,[],电解质代谢异常,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02544898,[],消化道穿孔危险,"[{'enBasicType': 'Finding', 'cnBasicType': '发现'}]"
SO00337661,['has_site'],透明质酸钠过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00018059,"['has_site', 'combo_concept', 'diagnosis']",肾衰竭,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00000367,"['has_site', 'combo_concept']",完全性肠梗阻,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529032,[],慢性胃肠功能紊乱,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02544932,['has_site'],注射用白眉蛇毒血凝酶过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00115969,['combo_concept'],心前区,"[{'enBasicType': 'Anatomy', 'cnBasicType': '身体部位'}]"
SO00156142,['combo_concept'],畸形,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529305,[],严重冠状动脉疾病,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00355306,['costly_medicine'],格华止,"[{'enBasicType': 'Medication', 'cnBasicType': '药品'}]"
SO00643539,"['has_site', 'combo_concept']",肠梗阻,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00002821,"['has_site', 'combo_concept', 'complaint', 'diagnosis']",骨肿瘤,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02416820,[],乐凡命,"[{'enBasicType': 'BrandName', 'cnBasicType': '商品名'}]"
SO00010856,['combo_concept'],肌内注射,"[{'enBasicType': 'Procedure', 'cnBasicType': '治疗操作'}]"
SO00337936,['has_site'],磺脲类过敏,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO01044691,[],窦性心动过缓,"[{'enBasicType': 'Finding', 'cnBasicType': '发现'}]"
SO02526389,[],髋关节内骨折,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO02529034,['has_site'],严重肝功能不全,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
SO00019234,"['has_site', 'combo_concept', 'complaint', 'diagnosis']",睡眠呼吸暂停,"[{'enBasicType': 'DiseaseDisorder', 'cnBasicType': '疾病'}]"
